Date,Open,High,Low,Close,Adj Close,Volume
2020-05-05,414.000000,418.750000,386.500000,389.000000,389.000000,50981056
2020-05-06,385.000000,394.450012,368.049988,388.850006,388.850006,67511628
2020-05-07,387.000000,402.250000,382.700012,397.350006,397.350006,41339309
2020-05-08,403.500000,409.450012,379.649994,382.049988,382.049988,33505509
2020-05-11,391.000000,393.500000,376.850006,379.549988,379.549988,30141935
2020-05-12,376.299988,391.799988,370.000000,386.850006,386.850006,38411107
2020-05-13,411.000000,416.450012,399.600006,414.000000,414.000000,48206058
2020-05-14,405.049988,411.000000,397.649994,401.950012,401.950012,31604212
2020-05-15,402.750000,403.899994,386.799988,388.549988,388.549988,25435025
2020-05-18,389.000000,389.000000,352.299988,358.799988,358.799988,47864748
2020-05-19,368.799988,372.500000,350.100006,354.500000,354.500000,42889678
2020-05-20,353.000000,366.299988,350.000000,362.500000,362.500000,30720803
2020-05-21,363.000000,369.000000,355.700012,357.200012,357.200012,24794914
2020-05-22,352.100006,359.750000,332.850006,336.950012,336.950012,48367892
2020-05-26,342.000000,347.700012,336.350006,341.299988,341.299988,30692834
2020-05-27,346.100006,392.450012,341.500000,387.000000,387.000000,72430787
2020-05-28,390.000000,407.649994,387.000000,390.950012,390.950012,72693713
2020-05-29,382.000000,389.250000,375.350006,384.950012,384.950012,51056390
2020-06-01,394.299988,409.500000,392.549988,396.950012,396.950012,44252980
2020-06-02,398.000000,415.000000,391.549988,410.100006,410.100006,37508638
2020-06-03,422.000000,432.000000,405.250000,409.549988,409.549988,49055899
2020-06-04,407.600006,413.899994,391.549988,394.350006,394.350006,45553578
2020-06-05,399.000000,409.899994,390.500000,405.299988,405.299988,39002875
2020-06-08,415.000000,444.750000,414.000000,430.250000,430.250000,60387580
2020-06-09,434.950012,442.500000,416.500000,420.049988,420.049988,46273705
2020-06-10,422.200012,432.700012,415.299988,427.450012,427.450012,36163051
2020-06-11,426.500000,435.549988,408.700012,413.450012,413.450012,45562670
2020-06-12,390.000000,412.500000,389.149994,408.000000,408.000000,47813512
2020-06-15,405.950012,405.950012,383.649994,389.600006,389.600006,39577100
2020-06-16,404.899994,405.000000,360.399994,381.549988,381.549988,96186227
2020-06-17,377.450012,397.750000,375.299988,389.600006,389.600006,56949066
2020-06-18,386.000000,408.049988,384.000000,405.399994,405.399994,43773580
2020-06-19,407.500000,422.299988,407.500000,417.049988,417.049988,52085319
2020-06-22,420.000000,435.899994,418.100006,430.149994,430.149994,40454004
2020-06-23,430.500000,445.000000,430.399994,443.649994,443.649994,30757220
2020-06-24,448.000000,448.500000,422.200012,424.649994,424.649994,33577082
2020-06-25,419.000000,428.700012,410.350006,421.700012,421.700012,49853200
2020-06-26,426.000000,428.750000,418.000000,424.850006,424.850006,32610915
2020-06-29,415.000000,415.799988,402.350006,404.799988,404.799988,36319455
2020-06-30,410.000000,414.799988,404.049988,406.649994,406.649994,26951915
2020-07-01,410.000000,437.350006,406.649994,433.250000,433.250000,53380512
2020-07-02,441.000000,441.500000,421.299988,423.200012,423.200012,50362770
2020-07-03,430.000000,431.600006,423.649994,428.450012,428.450012,31044457
2020-07-06,434.149994,437.600006,431.100006,434.000000,434.000000,18424079
2020-07-07,433.500000,449.000000,426.200012,447.350006,447.350006,37991679
2020-07-08,450.000000,461.399994,441.000000,444.149994,444.149994,45877067
2020-07-09,447.850006,457.000000,446.049988,453.750000,453.750000,29162679
2020-07-10,449.899994,451.450012,437.000000,439.600006,439.600006,25676354
2020-07-13,443.950012,446.399994,432.750000,440.049988,440.049988,21326370
2020-07-14,434.899994,435.799988,415.399994,417.700012,417.700012,25685579
2020-07-15,424.000000,444.450012,422.750000,426.649994,426.649994,43250557
2020-07-16,431.950012,436.149994,418.450012,434.000000,434.000000,30183647
2020-07-17,434.000000,439.899994,424.600006,433.100006,433.100006,33464985
2020-07-20,437.700012,442.799988,429.299988,434.000000,434.000000,30400586
2020-07-21,440.000000,451.000000,438.500000,446.200012,446.200012,43147019
2020-07-22,478.000000,484.600006,460.100006,478.950012,478.950012,89611937
2020-07-23,472.950012,474.750000,459.200012,460.850006,460.850006,40249567
2020-07-24,456.600006,456.600006,441.549988,445.600006,445.600006,30566635
2020-07-27,447.000000,448.000000,429.899994,431.549988,431.549988,21924237
2020-07-28,434.000000,440.000000,424.399994,437.049988,437.049988,33057573
2020-07-29,435.750000,447.000000,434.299988,440.899994,440.899994,24404819
